name,latitude_deg,longitude_deg,iso_country
Yellowknife International Airport,62.462799,-114.440002,Canada
Slave Lake Airport,55.292945,-114.777276,Canada
Sandspit Airport,53.25429916379999,-131.813995361,Canada
Chris Hadfield Airport,42.999401,-82.308899,Canada
Coral Harbour Airport,64.1932983398,-83.3593978882,Canada
Port Hardy Airport,50.68059921264648,-127.36699676513672,Canada
Whitecourt Airport,54.143902,-115.787003,Canada
Sept-Îles Airport,50.22330093383789,-66.2656021118164,Canada
Teslin Airport,60.17279815673828,-132.7429962158203,Canada
CFB Greenwood,44.98440170288086,-64.91690063476562,Canada
Mackenzie Airport,55.297786,-123.133907,Canada
Shuswap Regional Airport,50.682802,-119.228996,Canada
Boundary Bay Airport,49.0742,-123.012001,Canada
Bathurst Airport,47.6297,-65.738899,Canada
Bromont (Roland Désourdy) Airport,45.290798,-72.741402,Canada
Kelsey Airport,56.0374984741,-96.5096969604,Canada
Faro Airport,62.20750045776367,-133.37600708007812,Canada
Grand Forks Airport,49.015598,-118.431,Canada
Jenpeg Airport,54.51890182495117,-98.0460968017578,Canada
Swan River Airport,52.120602,-101.236,Canada
Thicket Portage Airport,55.31890106201172,-97.70780181884766,Canada
Pikwitonei Airport,55.58890151977539,-97.16419982910156,Canada
Masset Airport,54.0275,-132.125,Canada
Pincher Creek Airport,49.520429,-113.997002,Canada
Sandy Lake Airport,53.06420135498047,-93.34439849853516,Canada
Stewart Airport,55.935410448,-129.982434511,Canada
Ignace Municipal Airport,49.428204,-91.720418,Canada
Blida Airport,36.503601,2.81417,Algeria
Bou Saada Airport,35.3325,4.20639,Algeria
Soummam–Abane Ramdane Airport,36.711952,5.069804,Algeria
Houari Boumediene Airport,36.693886,3.214531,Algeria
Djanet Inedbirene Airport,24.292801,9.45244,Algeria
Boufarik Air Base,36.545799,2.87611,Algeria
Illizi Takhamalt Airport,26.723499,8.62265,Algeria
Ain Arnat Airport,36.178100585900005,5.32449007034,Algeria
Aguenar – Hadj Bey Akhamok Airport,22.811501,5.45108,Algeria
Jijel Ferhat Abbas Airport,36.795101,5.87361,Algeria
Mecheria Airport,33.535900116,-0.242353007197,Algeria
Relizane Airport,35.752955,0.625877,Algeria
Annaba Rabah Bitat Airport,36.826781,7.81334,Algeria
Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,Algeria
Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,Algeria
Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,Algeria
Hassi R'Mel Airport,32.930401,3.31154,Algeria
Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,Algeria
Tindouf Airport,27.7003993988,-8.167099952700001,Algeria
Chlef Aboubakr Belkaid International Airport,36.217166,1.342237,Algeria
Oran Tafraoui Airport,35.5424,-0.532278,Algeria
Zenata – Messali El Hadj Airport,35.013426,-1.457191,Algeria
Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.623901,-0.621183,Algeria
Béchar Boudghene Ben Ali Lotfi Airport,31.64570045471192,-2.269860029220581,Algeria
Ghriss Airport,35.207699,0.147142,Algeria
Touat Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,Algeria
Biskra - Mohamed Khider Airport,34.793301,5.73823,Algeria
El Golea Airport,30.580732,2.861595,Algeria
Noumérat - Moufdi Zakaria Airport,32.384102,3.79411,Algeria
